"ProcessName","PID","ProcessPath","Protocol","LocalAddress","LocalPort","LocalPortName","RemoteAddress","RemotePort","RemoteHostName","RemotePortName","State","ProductName","FileDescription","FileVersion","Company","ProcessCreatedOn","UserName","ProcessServices","ProcessAttributes","DetectionTime","ConnectionCreationTime","ConnectionSentBytes","ConnectionSentPackets","ConnectionReceivedBytes","ConnectionReceivedPackets","ModuleFilename","ARCH","ASLR","DEP","Authenticode","StrongNaming","SafeSEH","ControlFlowGuard","HighentropyVA","DotNET","PrivilegeLevel","Privileges","AHAScraperVersion"
"lsass.exe","972","C:\Windows\System32\lsass.exe","TCP","::","49669","","::","","TestBox","","Listening","Microsoft Windows Operating System","Local Security Authority Process","10.0.14393.2363 (rs1_release.180625-1741)","Microsoft Corporation","7/10/2018 2:02:07 PM","NT AUTHORITY\SYSTEM","KeyIso, SamSs, VaultSvc","","8/4/2018 7:20:17 PM","7/10/2018 2:02:17 PM","","","","","","AMD64","True","True","True","N/A","N/A","True","True","False","SYSTEM","SYSTEM","v0.8.1"
"lsass.exe","972","C:\Windows\System32\lsass.exe","TCP","0.0.0.0","49669","","0.0.0.0","","","","Listening","Microsoft Windows Operating System","Local Security Authority Process","10.0.14393.2363 (rs1_release.180625-1741)","Microsoft Corporation","7/10/2018 2:02:07 PM","NT AUTHORITY\SYSTEM","KeyIso, SamSs, VaultSvc","","8/4/2018 7:20:17 PM","7/10/2018 2:02:17 PM","","","","","","AMD64","True","True","True","N/A","N/A","True","True","False","SYSTEM","SYSTEM","v0.8.1"
"services.exe","964","C:\Windows\System32\services.exe","TCP","0.0.0.0","49668","","0.0.0.0","","","","Listening","Microsoft Windows Operating System","Services and Controller app","10.0.14393.0 (rs1_release.160715-1616)","Microsoft Corporation","N/A","","","","8/4/2018 7:20:17 PM","7/10/2018 2:02:10 PM","","","","","","AMD64","True","True","True","N/A","N/A","True","True","False","SYSTEM","SYSTEM","v0.8.1"
"services.exe","964","C:\Windows\System32\services.exe","TCP","::","49668","","::","","TestBox","","Listening","Microsoft Windows Operating System","Services and Controller app","10.0.14393.0 (rs1_release.160715-1616)","Microsoft Corporation","N/A","","","","8/4/2018 7:20:17 PM","7/10/2018 2:02:10 PM","","","","","","AMD64","True","True","True","N/A","N/A","True","True","False","SYSTEM","SYSTEM","v0.8.1"
"spoolsv.exe","2308","C:\Windows\System32\spoolsv.exe","TCP","0.0.0.0","49667","","0.0.0.0","","","","Listening","Microsoft Windows Operating System","Spooler SubSystem App","10.0.14393.0 (rs1_release.160715-1616)","Microsoft Corporation","7/10/2018 2:02:09 PM","NT AUTHORITY\SYSTEM","Spooler","","8/4/2018 7:20:17 PM","7/10/2018 2:02:09 PM","","","","","","AMD64","True","True","True","N/A","N/A","True","True","False","SYSTEM","SYSTEM","v0.8.1"
"spoolsv.exe","2308","C:\Windows\System32\spoolsv.exe","TCP","::","49667","","::","","TestBox","","Listening","Microsoft Windows Operating System","Spooler SubSystem App","10.0.14393.0 (rs1_release.160715-1616)","Microsoft Corporation","7/10/2018 2:02:09 PM","NT AUTHORITY\SYSTEM","Spooler","","8/4/2018 7:20:17 PM","7/10/2018 2:02:09 PM","","","","","","AMD64","True","True","True","N/A","N/A","True","True","False","SYSTEM","SYSTEM","v0.8.1"
"svchost.exe","1444","C:\Windows\System32\svchost.exe","TCP","0.0.0.0","49666","","0.0.0.0","","","","Listening","Microsoft Windows Operating System","Host Process for Windows Services","10.0.14393.0 (rs1_release.160715-1616)","Microsoft Corporation","7/10/2018 2:02:08 PM","NT AUTHORITY\SYSTEM","Appinfo, AppMgmt, CertPropSvc, gpsvc, iphlpsvc, lfsvc, ProfSvc, Schedule, SENS, SessionEnv, ShellHWDetection, Themes, UserManager, Winmgmt, WpnService","A","8/4/2018 7:20:17 PM","7/10/2018 2:02:09 PM","","","","","","AMD64","True","True","True","N/A","N/A","True","True","False","SYSTEM","SYSTEM","v0.8.1"
"svchost.exe","1444","C:\Windows\System32\svchost.exe","TCP","::","49666","","::","","TestBox","","Listening","Microsoft Windows Operating System","Host Process for Windows Services","10.0.14393.0 (rs1_release.160715-1616)","Microsoft Corporation","7/10/2018 2:02:08 PM","NT AUTHORITY\SYSTEM","Appinfo, AppMgmt, CertPropSvc, gpsvc, iphlpsvc, lfsvc, ProfSvc, Schedule, SENS, SessionEnv, ShellHWDetection, Themes, UserManager, Winmgmt, WpnService","A","8/4/2018 7:20:17 PM","7/10/2018 2:02:09 PM","","","","","","AMD64","True","True","True","N/A","N/A","True","True","False","SYSTEM","SYSTEM","v0.8.1"
"svchost.exe","1444","C:\Windows\System32\svchost.exe","UDP","127.0.0.1","49664","","","","","","","Microsoft Windows Operating System","Host Process for Windows Services","10.0.14393.0 (rs1_release.160715-1616)","Microsoft Corporation","7/10/2018 2:02:08 PM","NT AUTHORITY\SYSTEM","Appinfo, AppMgmt, CertPropSvc, gpsvc, iphlpsvc, lfsvc, ProfSvc, Schedule, SENS, SessionEnv, ShellHWDetection, Themes, UserManager, Winmgmt, WpnService","A","8/4/2018 7:20:17 PM","7/10/2018 2:02:09 PM","","","","","","AMD64","True","True","True","N/A","N/A","True","True","False","SYSTEM","SYSTEM","v0.8.1"
"svchost.exe","5008","C:\Windows\System32\svchost.exe","UDP","::1","1900","ssdp","","","TestBox","","","Microsoft Windows Operating System","Host Process for Windows Services","10.0.14393.0 (rs1_release.160715-1616)","Microsoft Corporation","7/11/2018 1:52:04 PM","NT AUTHORITY\LOCAL SERVICE","SSDPSRV","A","8/4/2018 7:20:17 PM","7/11/2018 1:52:04 PM","","","","","","AMD64","True","True","True","N/A","N/A","True","True","False","Standard User","SeChangeNotifyPrivilege|SeCreateGlobalPrivilege","v0.8.1"
